%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.0075,1,692,1,1,1692812,.TAU_application
100.0,0.895,1,692,1,553.125,1692804,CG
41.3,566,699,76,41496,9206,CONJ_GRAD
29.0,491,491,1,0,491538,MPI_Finalize()
18.3,0.0315,309,1,3.125,309232,INITIALIZE_MPI
18.2,308,308,1,0,308568,MPI_Init()
11.2,9,190,1,28001,190418,MAKEA
10.0,80,169,14000,590394,12,SPRNVC
4.5,76,76,13984,0,5,MPI_Wait()
3.5,59,59,393597,0,0,RANDLC
2.9,49,49,13984,0,4,MPI_Send()
1.7,29,29,196798,0,0,ICNVRT
0.5,8,8,1,0,8879,SPARSE
0.4,6,6,13984,0,0,MPI_Irecv()
0.1,2,2,14000,0,0,VECSET
0.0,0.659,0.659,1,0,659,ALLOC_SPACE
0.0,0.557,0.557,1,0,557,MPI_Bcast()
0.0,0.145,0.145,1,0,145,MPI_Barrier()
0.0,0.0535,0.0535,1,0,54,MPI_Reduce()
0.0,0.0532,0.0532,0.125,0,426,CHECK_TIMER_FLAG
0.0,0.0215,0.022,1,2,22,GET_ACTIVE_NPROCS
0.0,0.0163,0.0163,0.125,0,130,PRINT_RESULTS
0.0,0.00313,0.00313,1,0,3,TIMER_START
0.0,0.00137,0.00137,9,0,0,TIMER_CLEAR
0.0,0.001,0.001,1,0,1,TIMER_STOP
0.0,0.000375,0.000375,1,0,0,MPI_Comm_size()
0.0,0.00025,0.00025,1,0,0,SETUP_PROC_INFO
0.0,0.000125,0.000125,1,0,0,MPI_Comm_rank()
0.0,0.000125,0.000125,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000125,0.000125,1,0,0,TIMER_READ
