%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.0056,1,520,1,1,1520493,.TAU_application
100.0,0.46,1,520,1,1334,1520488,CG
33.8,0.0355,514,1,3.00391,514496,INITIALIZE_MPI
33.8,513,513,1,0,513479,MPI_Init()
26.7,70,405,101,102414,4014,CONJ_GRAD
26.1,396,396,1,0,396770,MPI_Finalize()
18.3,277,277,34542,0,8,MPI_Wait()
13.3,5,202,1,28001,202152,MAKEA
12.8,91,194,14000,737607,14,SPRNVC
4.5,68,68,491739,0,0,RANDLC
3.2,48,48,34542,0,1,MPI_Send()
2.2,34,34,245869,0,0,ICNVRT
0.7,9,9,34542,0,0,MPI_Irecv()
0.1,2,2,14000,0,0,VECSET
0.1,0.945,0.945,1,0,945,MPI_Bcast()
0.0,0.377,0.377,1,0,377,SPARSE
0.0,0.329,0.329,1,0,329,MPI_Barrier()
0.0,0.111,0.111,1,0,111,MPI_Reduce()
0.0,0.054,0.054,1,0,54,ALLOC_SPACE
0.0,0.0335,0.0341,1,2,34,GET_ACTIVE_NPROCS
0.0,0.0209,0.0209,1,0,21,TIMER_START
0.0,0.00253,0.00253,0.00390625,0,647,CHECK_TIMER_FLAG
0.0,0.0016,0.0016,9,0,0,TIMER_CLEAR
0.0,0.000785,0.000785,1,0,1,TIMER_STOP
0.0,0.000473,0.000473,0.00390625,0,121,PRINT_RESULTS
0.0,0.00043,0.00043,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000313,0.000313,1,0,0,MPI_Comm_size()
0.0,0.000234,0.000234,1,0,0,MPI_Comm_rank()
0.0,0.000234,0.000234,1,0,0,SETUP_PROC_INFO
0.0,0.000113,0.000113,1,0,0,TIMER_READ
