%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00619,1,922,1,1,1922466,.TAU_application
100.0,1,1,922,1,553.062,1922459,CG
40.8,593,783,76,41496,10312,CONJ_GRAD
27.7,531,531,1,0,531838,MPI_Finalize()
16.3,0.0278,313,1,3.0625,313448,INITIALIZE_MPI
16.3,312,312,1,0,312807,MPI_Init()
15.2,15,291,1,60001,291265,MAKEA
13.7,123,263,30000,1.08172E+06,9,SPRNVC
5.2,99,99,13984,0,7,MPI_Send()
4.9,93,93,721149,0,0,RANDLC
4.5,85,85,13984,0,6,MPI_Wait()
2.4,46,46,360574,0,0,ICNVRT
0.4,7,7,1,0,7459,SPARSE
0.3,5,5,13984,0,0,MPI_Irecv()
0.2,4,4,30000,0,0,VECSET
0.0,0.577,0.577,1,0,577,ALLOC_SPACE
0.0,0.564,0.564,1,0,564,MPI_Bcast()
0.0,0.225,0.225,1,0,225,MPI_Barrier()
0.0,0.0502,0.0502,1,0,50,MPI_Reduce()
0.0,0.0271,0.0271,0.0625,0,434,CHECK_TIMER_FLAG
0.0,0.0216,0.0223,1,2,22,GET_ACTIVE_NPROCS
0.0,0.0075,0.0075,0.0625,0,120,PRINT_RESULTS
0.0,0.003,0.003,1,0,3,TIMER_START
0.0,0.00144,0.00144,9,0,0,TIMER_CLEAR
0.0,0.00075,0.00075,1,0,1,TIMER_STOP
0.0,0.000438,0.000438,1,0,0,MPI_Comm_rank()
0.0,0.000438,0.000438,1,0,0,SETUP_SUBMATRIX_INFO
0.0,0.000313,0.000313,1,0,0,MPI_Comm_size()
0.0,0.000188,0.000188,1,0,0,SETUP_PROC_INFO
0.0,0.000188,0.000188,1,0,0,TIMER_READ
