"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00662","4:06.622","1","1",".TAU_application"
"100.0","47","4:06.622","1","553.125","CG"
"93.8","3:43.397","3:51.337","76","41496","CONJ_GRAD"
"5.8","752","14,227","1","1.5E+06","MAKEA"
"4.8","5,944","11,776","750000","4.71974E+07","SPRNVC"
"2.2","5,464","5,464","13984","0","MPI_Send()"
"1.6","3,898","3,898","3.14649E+07","0","RANDLC"
"0.9","2,304","2,304","13984","0","MPI_Wait()"
"0.8","1,933","1,933","1.57325E+07","0","ICNVRT"
"0.6","1,591","1,591","1","0","SPARSE"
"0.3","693","693","1","0","MPI_Finalize()"
"0.1","0.0381","307","1","3.125","INITIALIZE_MPI"
"0.1","306","306","1","0","MPI_Init()"
"0.1","173","173","13984","0","MPI_Irecv()"
"0.0","107","107","750000","0","VECSET"
"0.0","6","6","1","0","ALLOC_SPACE"
"0.0","0.513","0.513","1","0","MPI_Bcast()"
"0.0","0.227","0.227","1","0","MPI_Barrier()"
"0.0","0.0625","0.0625","1","0","MPI_Reduce()"
"0.0","0.0554","0.0554","0.125","0","CHECK_TIMER_FLAG"
"0.0","0.0229","0.0232","1","2","GET_ACTIVE_NPROCS"
"0.0","0.017","0.017","0.125","0","PRINT_RESULTS"
"0.0","0.0127","0.0127","1","0","TIMER_START"
"0.0","0.00112","0.00112","9","0","TIMER_CLEAR"
"0.0","0.00112","0.00112","1","0","TIMER_STOP"
"0.0","0.000625","0.000625","1","0","SETUP_SUBMATRIX_INFO"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.000125","0.000125","1","0","MPI_Comm_rank()"
"0.0","0.000125","0.000125","1","0","SETUP_PROC_INFO"
"0.0","0","0","1","0","TIMER_READ"
