"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00662","1,474","1","1",".TAU_application"
"100.0","107","1,474","1","437.25","EMBAR"
"50.6","746","746","1","0","MPI_Finalize()"
"40.4","595","595","1","0","MPI_Init()"
"1.2","17","17","4","0","MPI_Allreduce()"
"0.5","6","6","34","0","VRANLC"
"0.1","0.837","0.837","1","0","MPI_Bcast()"
"0.0","0.31","0.31","1","0","MPI_Barrier()"
"0.0","0.0636","0.0636","386.125","0","RANDLC"
"0.0","0.0319","0.0319","0.0625","0","CHECK_TIMER_FLAG"
"0.0","0.0117","0.0117","0.0625","0","PRINT_RESULTS"
"0.0","0.0114","0.0114","1","0","TIMER_START"
"0.0","0.00331","0.00331","1","0","MPI_Comm_rank()"
"0.0","0.000562","0.000562","4","0","TIMER_CLEAR"
"0.0","0.000375","0.000375","1","0","TIMER_STOP"
"0.0","0.000188","0.000188","1","0","MPI_Comm_size()"
"0.0","6.25E-05","6.25E-05","1","0","TIMER_READ"
