"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.006","12,602","1","1",".TAU_application"
"100.0","6,159","12,602","1","34855","EMBAR"
"45.5","5,735","5,735","1","0","MPI_Finalize()"
"3.0","372","372","2050","0","VRANLC"
"2.6","323","323","1","0","MPI_Init()"
"0.0","5","5","4","0","MPI_Allreduce()"
"0.0","4","4","32787","0","RANDLC"
"0.0","0.344","0.344","1","0","MPI_Bcast()"
"0.0","0.218","0.218","0.5","0","CHECK_TIMER_FLAG"
"0.0","0.07","0.07","0.5","0","PRINT_RESULTS"
"0.0","0.014","0.014","1","0","MPI_Barrier()"
"0.0","0.0065","0.0065","1","0","TIMER_START"
"0.0","0.003","0.003","1","0","MPI_Comm_rank()"
"0.0","0.001","0.001","4","0","TIMER_CLEAR"
"0.0","0.001","0.001","1","0","TIMER_STOP"
"0.0","0.0005","0.0005","1","0","MPI_Comm_size()"
"0.0","0","0","1","0","TIMER_READ"
