"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00644","4,422","1","1",".TAU_application"
"100.0","3,078","4,422","1","20517.2","EMBAR"
"15.4","679","679","1","0","MPI_Finalize()"
"7.8","343","343","1","0","MPI_Init()"
"4.4","193","193","1026","0","VRANLC"
"2.8","123","123","4","0","MPI_Allreduce()"
"0.1","2","2","19474.1","0","RANDLC"
"0.0","0.68","0.68","1","0","MPI_Bcast()"
"0.0","0.361","0.361","1","0","MPI_Barrier()"
"0.0","0.0244","0.0244","0.0625","0","CHECK_TIMER_FLAG"
"0.0","0.0141","0.0141","1","0","TIMER_START"
"0.0","0.00912","0.00912","0.0625","0","PRINT_RESULTS"
"0.0","0.003","0.003","1","0","MPI_Comm_rank()"
"0.0","0.000875","0.000875","4","0","TIMER_CLEAR"
"0.0","0.0005","0.0005","1","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","6.25E-05","6.25E-05","1","0","TIMER_READ"
