"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00602","4,381","1","1",".TAU_application"
"100.0","3,072","4,381","1","23589.1","EMBAR"
"12.8","560","560","1","0","MPI_Finalize()"
"9.5","414","414","1","0","MPI_Init()"
"4.4","191","191","1026","0","VRANLC"
"3.1","137","137","4","0","MPI_Allreduce()"
"0.1","2","2","22546","0","RANDLC"
"0.0","0.739","0.739","1","0","MPI_Bcast()"
"0.0","0.474","0.474","1","0","MPI_Barrier()"
"0.0","0.00981","0.00981","1","0","TIMER_START"
"0.0","0.00598","0.00598","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00359","0.00359","0.015625","0","PRINT_RESULTS"
"0.0","0.0032","0.0032","1","0","MPI_Comm_rank()"
"0.0","0.000672","0.000672","4","0","TIMER_CLEAR"
"0.0","0.000469","0.000469","1","0","TIMER_STOP"
"0.0","0.000219","0.000219","1","0","MPI_Comm_size()"
"0.0","0.000219","0.000219","1","0","TIMER_READ"
