"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0064","54,584","1","1",".TAU_application"
"100.0","24,912","54,584","1","237605","EMBAR"
"49.2","26,845","26,845","4","0","MPI_Allreduce()"
"2.8","1,536","1,536","8194","0","VRANLC"
"1.4","747","747","1","0","MPI_Init()"
"0.9","511","511","1","0","MPI_Finalize()"
"0.1","29","29","229394","0","RANDLC"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","0.784","0.784","1","0","MPI_Bcast()"
"0.0","0.0176","0.0176","1","0","TIMER_START"
"0.0","0.00335","0.00335","1","0","MPI_Comm_rank()"
"0.0","0.00294","0.00294","0.0078125","0","CHECK_TIMER_FLAG"
"0.0","0.00127","0.00127","0.0078125","0","PRINT_RESULTS"
"0.0","0.000781","0.000781","4","0","TIMER_CLEAR"
"0.0","0.00075","0.00075","1","0","TIMER_STOP"
"0.0","0.000242","0.000242","1","0","MPI_Comm_size()"
"0.0","0.000125","0.000125","1","0","TIMER_READ"
