"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00633","7:01.973","1","1",".TAU_application"
"100.0","6:31.718","7:01.973","1","4.58756E+06","EMBAR"
"5.7","23,923","23,923","131074","0","VRANLC"
"1.1","4,760","4,760","4","0","MPI_Allreduce()"
"0.1","564","564","4.45647E+06","0","RANDLC"
"0.1","506","506","1","0","MPI_Finalize()"
"0.1","497","497","1","0","MPI_Init()"
"0.0","0.927","0.927","1","0","MPI_Barrier()"
"0.0","0.881","0.881","1","0","MPI_Bcast()"
"0.0","0.0101","0.0101","1","0","TIMER_START"
"0.0","0.00346","0.00346","1","0","MPI_Comm_rank()"
"0.0","0.003","0.003","0.0078125","0","CHECK_TIMER_FLAG"
"0.0","0.00134","0.00134","0.0078125","0","PRINT_RESULTS"
"0.0","0.000797","0.000797","1","0","TIMER_STOP"
"0.0","0.000773","0.000773","4","0","TIMER_CLEAR"
"0.0","0.000258","0.000258","1","0","MPI_Comm_size()"
"0.0","0.000109","0.000109","1","0","TIMER_READ"
