"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00637","27:59.551","1","1",".TAU_application"
"100.0","26:07.208","27:59.551","1","2.14958E+07","EMBAR"
"5.7","1:35.694","1:35.694","524290","0","VRANLC"
"0.8","12,839","12,839","4","0","MPI_Allreduce()"
"0.2","2,642","2,642","2.09715E+07","0","RANDLC"
"0.0","645","645","1","0","MPI_Init()"
"0.0","517","517","1","0","MPI_Finalize()"
"0.0","1","1","1","0","MPI_Bcast()"
"0.0","0.992","0.992","1","0","MPI_Barrier()"
"0.0","0.0131","0.0131","1","0","TIMER_START"
"0.0","0.00347","0.00347","1","0","MPI_Comm_rank()"
"0.0","0.000965","0.000965","0.00195312","0","CHECK_TIMER_FLAG"
"0.0","0.000773","0.000773","4","0","TIMER_CLEAR"
"0.0","0.000742","0.000742","1","0","TIMER_STOP"
"0.0","0.000385","0.000385","0.00195312","0","PRINT_RESULTS"
"0.0","0.000225","0.000225","1","0","MPI_Comm_size()"
"0.0","0.000143","0.000143","1","0","TIMER_READ"
