"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00694","1,251","1","1",".TAU_application"
"100.0","26","1,251","1","125.125","EMBAR"
"63.0","788","788","1","0","MPI_Finalize()"
"34.3","428","428","1","0","MPI_Init()"
"0.4","5","5","4","0","MPI_Allreduce()"
"0.1","1","1","10","0","VRANLC"
"0.1","0.743","0.743","1","0","MPI_Bcast()"
"0.0","0.474","0.474","1","0","MPI_Barrier()"
"0.0","0.0155","0.0155","98.0625","0","RANDLC"
"0.0","0.0124","0.0124","1","0","TIMER_START"
"0.0","0.0116","0.0116","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.00572","0.00572","0.03125","0","PRINT_RESULTS"
"0.0","0.00281","0.00281","1","0","MPI_Comm_rank()"
"0.0","0.000687","0.000687","4","0","TIMER_CLEAR"
"0.0","0.0005","0.0005","1","0","TIMER_STOP"
"0.0","0.000281","0.000281","1","0","MPI_Comm_size()"
"0.0","9.38E-05","9.38E-05","1","0","TIMER_READ"
