"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00772","3,398","1","1",".TAU_application"
"100.0","53","3,398","1","237.125","EMBAR"
"73.9","2,513","2,513","1","0","MPI_Init()"
"24.1","818","818","1","0","MPI_Finalize()"
"0.3","9","9","4","0","MPI_Allreduce()"
"0.1","3","3","18","0","VRANLC"
"0.0","0.69","0.69","1","0","MPI_Bcast()"
"0.0","0.499","0.499","1","0","MPI_Barrier()"
"0.0","0.0326","0.0326","202.062","0","RANDLC"
"0.0","0.0121","0.0121","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.0106","0.0106","1","0","TIMER_START"
"0.0","0.00553","0.00553","0.03125","0","PRINT_RESULTS"
"0.0","0.00284","0.00284","1","0","MPI_Comm_rank()"
"0.0","0.000781","0.000781","1","0","TIMER_STOP"
"0.0","0.000656","0.000656","4","0","TIMER_CLEAR"
"0.0","0.000313","0.000313","1","0","MPI_Comm_size()"
"0.0","0.000125","0.000125","1","0","TIMER_READ"
