"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00825","13,243","1","1",".TAU_application"
"100.0","400","13,243","1","1638","EMBAR"
"94.0","12,451","12,451","1","0","MPI_Finalize()"
"2.6","345","345","1","0","MPI_Init()"
"0.2","24","24","130","0","VRANLC"
"0.1","19","19","4","0","MPI_Allreduce()"
"0.0","0.587","0.587","1","0","MPI_Bcast()"
"0.0","0.22","0.22","1490.5","0","RANDLC"
"0.0","0.151","0.151","1","0","MPI_Barrier()"
"0.0","0.132","0.132","0.25","0","CHECK_TIMER_FLAG"
"0.0","0.0367","0.0367","0.25","0","PRINT_RESULTS"
"0.0","0.01","0.01","1","0","TIMER_START"
"0.0","0.00375","0.00375","1","0","MPI_Comm_rank()"
"0.0","0.00075","0.00075","4","0","TIMER_CLEAR"
"0.0","0.0005","0.0005","1","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1","0","TIMER_READ"
