"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00706","1,657","1","1",".TAU_application"
"100.0","395","1,657","1","2213.12","EMBAR"
"49.6","821","821","1","0","MPI_Finalize()"
"19.5","322","322","1","0","MPI_Init()"
"5.5","91","91","4","0","MPI_Allreduce()"
"1.5","24","24","130","0","VRANLC"
"0.1","0.927","0.927","1","0","MPI_Bcast()"
"0.0","0.464","0.464","1","0","MPI_Barrier()"
"0.0","0.292","0.292","2066.06","0","RANDLC"
"0.0","0.016","0.016","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.00972","0.00972","1","0","TIMER_START"
"0.0","0.00447","0.00447","0.03125","0","PRINT_RESULTS"
"0.0","0.00322","0.00322","1","0","MPI_Comm_rank()"
"0.0","0.000719","0.000719","4","0","TIMER_CLEAR"
"0.0","0.000687","0.000687","1","0","TIMER_STOP"
"0.0","0.000156","0.000156","1","0","MPI_Comm_size()"
"0.0","3.13E-05","3.13E-05","1","0","TIMER_READ"
