"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00784","2,916","1","1",".TAU_application"
"100.0","1,551","2,916","1","10277.1","EMBAR"
"28.8","840","840","1","0","MPI_Finalize()"
"11.3","329","329","1","0","MPI_Init()"
"3.3","97","97","514","0","VRANLC"
"3.2","94","94","4","0","MPI_Allreduce()"
"0.0","1","1","9746.06","0","RANDLC"
"0.0","0.788","0.788","1","0","MPI_Bcast()"
"0.0","0.504","0.504","1","0","MPI_Barrier()"
"0.0","0.013","0.013","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.00991","0.00991","1","0","TIMER_START"
"0.0","0.00419","0.00419","0.03125","0","PRINT_RESULTS"
"0.0","0.00313","0.00313","1","0","MPI_Comm_rank()"
"0.0","0.00075","0.00075","4","0","TIMER_CLEAR"
"0.0","0.00075","0.00075","1","0","TIMER_STOP"
"0.0","9.38E-05","9.38E-05","1","0","MPI_Comm_size()"
"0.0","3.13E-05","3.13E-05","1","0","TIMER_READ"
