"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00688","27,674","1","1",".TAU_application"
"100.0","24,604","27,674","1","188454","EMBAR"
"5.4","1,507","1,507","8194","0","VRANLC"
"4.1","1,138","1,138","1","0","MPI_Finalize()"
"1.1","316","316","1","0","MPI_Init()"
"0.3","82","82","4","0","MPI_Allreduce()"
"0.1","23","23","180242","0","RANDLC"
"0.0","0.625","0.625","1","0","MPI_Bcast()"
"0.0","0.223","0.223","1","0","MPI_Barrier()"
"0.0","0.054","0.054","0.125","0","CHECK_TIMER_FLAG"
"0.0","0.0185","0.0185","0.125","0","PRINT_RESULTS"
"0.0","0.008","0.008","1","0","TIMER_START"
"0.0","0.00275","0.00275","1","0","MPI_Comm_rank()"
"0.0","0.000875","0.000875","4","0","TIMER_CLEAR"
"0.0","0.000875","0.000875","1","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0","0","1","0","TIMER_READ"
