"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00611","28,205","1","1",".TAU_application"
"100.0","24,493","28,205","1","237605","EMBAR"
"5.4","1,535","1,535","8194","0","VRANLC"
"3.3","937","937","4","0","MPI_Allreduce()"
"2.5","694","694","1","0","MPI_Init()"
"1.8","514","514","1","0","MPI_Finalize()"
"0.1","29","29","229394","0","RANDLC"
"0.0","0.725","0.725","1","0","MPI_Bcast()"
"0.0","0.556","0.556","1","0","MPI_Barrier()"
"0.0","0.0174","0.0174","1","0","TIMER_START"
"0.0","0.00348","0.00348","1","0","MPI_Comm_rank()"
"0.0","0.00318","0.00318","0.0078125","0","CHECK_TIMER_FLAG"
"0.0","0.0013","0.0013","0.0078125","0","PRINT_RESULTS"
"0.0","0.000805","0.000805","4","0","TIMER_CLEAR"
"0.0","0.000656","0.000656","1","0","TIMER_STOP"
"0.0","0.000195","0.000195","1","0","MPI_Comm_size()"
"0.0","0.000156","0.000156","1","0","TIMER_READ"
