"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00611","7:07.756","1","1",".TAU_application"
"100.0","3:16.749","7:07.756","1","2.2938E+06","EMBAR"
"50.9","3:37.586","3:37.586","4","0","MPI_Allreduce()"
"2.8","12,043","12,043","65538","0","VRANLC"
"0.1","587","587","1","0","MPI_Init()"
"0.1","504","504","1","0","MPI_Finalize()"
"0.1","281","281","2.22824E+06","0","RANDLC"
"0.0","1","1","1","0","MPI_Bcast()"
"0.0","0.879","0.879","1","0","MPI_Barrier()"
"0.0","0.0137","0.0137","1","0","TIMER_START"
"0.0","0.00327","0.00327","1","0","MPI_Comm_rank()"
"0.0","0.00191","0.00191","0.00390625","0","CHECK_TIMER_FLAG"
"0.0","0.000699","0.000699","1","0","TIMER_STOP"
"0.0","0.000691","0.000691","4","0","TIMER_CLEAR"
"0.0","0.000594","0.000594","0.00390625","0","PRINT_RESULTS"
"0.0","0.000188","0.000188","1","0","MPI_Comm_size()"
"0.0","0.000188","0.000188","1","0","TIMER_READ"
