"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00613","3,997","1","1",".TAU_application"
"100.0","13","3,997","1","81.0625","EMBAR"
"80.7","3,226","3,226","1","0","MPI_Init()"
"18.8","752","752","1","0","MPI_Finalize()"
"0.1","2","2","4","0","MPI_Allreduce()"
"0.0","0.78","0.78","6","0","VRANLC"
"0.0","0.776","0.776","1","0","MPI_Bcast()"
"0.0","0.584","0.584","1","0","MPI_Barrier()"
"0.0","0.0132","0.0132","1","0","TIMER_START"
"0.0","0.00872","0.00872","58.0312","0","RANDLC"
"0.0","0.00581","0.00581","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00347","0.00347","0.015625","0","PRINT_RESULTS"
"0.0","0.0028","0.0028","1","0","MPI_Comm_rank()"
"0.0","0.00075","0.00075","4","0","TIMER_CLEAR"
"0.0","0.000313","0.000313","1","0","MPI_Comm_size()"
"0.0","0.000297","0.000297","1","0","TIMER_STOP"
"0.0","0.000141","0.000141","1","0","TIMER_READ"
