"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00662","1,709","1","1",".TAU_application"
"100.0","229","1,709","1","837.5","EMBAR"
"66.1","1,129","1,129","1","0","MPI_Finalize()"
"18.7","319","319","1","0","MPI_Init()"
"0.9","15","15","4","0","MPI_Allreduce()"
"0.8","14","14","66","0","VRANLC"
"0.0","0.547","0.547","1","0","MPI_Bcast()"
"0.0","0.201","0.201","1","0","MPI_Barrier()"
"0.0","0.15","0.15","754.25","0","RANDLC"
"0.0","0.0519","0.0519","0.125","0","CHECK_TIMER_FLAG"
"0.0","0.0213","0.0213","0.125","0","PRINT_RESULTS"
"0.0","0.0169","0.0169","1","0","TIMER_START"
"0.0","0.003","0.003","1","0","MPI_Comm_rank()"
"0.0","0.00075","0.00075","1","0","TIMER_STOP"
"0.0","0.0005","0.0005","1","0","MPI_Comm_size()"
"0.0","0.0005","0.0005","4","0","TIMER_CLEAR"
"0.0","0.000375","0.000375","1","0","TIMER_READ"
