"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00713","2,052","1","1",".TAU_application"
"100.0","789","2,052","1","4389.25","EMBAR"
"38.1","782","782","1","0","MPI_Finalize()"
"16.6","340","340","1","0","MPI_Init()"
"4.4","89","89","4","0","MPI_Allreduce()"
"2.4","49","49","258","0","VRANLC"
"0.0","0.711","0.711","1","0","MPI_Bcast()"
"0.0","0.59","0.59","4114.12","0","RANDLC"
"0.0","0.37","0.37","1","0","MPI_Barrier()"
"0.0","0.0247","0.0247","0.0625","0","CHECK_TIMER_FLAG"
"0.0","0.0123","0.0123","1","0","TIMER_START"
"0.0","0.01","0.01","0.0625","0","PRINT_RESULTS"
"0.0","0.00344","0.00344","1","0","MPI_Comm_rank()"
"0.0","0.000937","0.000937","4","0","TIMER_CLEAR"
"0.0","0.00075","0.00075","1","0","TIMER_STOP"
"0.0","0.000313","0.000313","1","0","TIMER_READ"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
