"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0075","9,609","1","1",".TAU_application"
"100.0","3,146","9,609","1","17446","EMBAR"
"60.5","5,818","5,818","1","0","MPI_Finalize()"
"3.8","367","367","1","0","MPI_Init()"
"2.0","192","192","1026","0","VRANLC"
"0.8","80","80","4","0","MPI_Allreduce()"
"0.0","2","2","16402.5","0","RANDLC"
"0.0","0.467","0.467","1","0","MPI_Bcast()"
"0.0","0.149","0.149","1","0","MPI_Barrier()"
"0.0","0.125","0.125","0.25","0","CHECK_TIMER_FLAG"
"0.0","0.0415","0.0415","0.25","0","PRINT_RESULTS"
"0.0","0.0248","0.0248","1","0","TIMER_START"
"0.0","0.00375","0.00375","1","0","MPI_Comm_rank()"
"0.0","0.00125","0.00125","4","0","TIMER_CLEAR"
"0.0","0.001","0.001","1","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1","0","TIMER_READ"
