"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0085","7,625","1","1",".TAU_application"
"100.0","6,182","7,625","1","40997.5","EMBAR"
"8.9","680","680","1","0","MPI_Finalize()"
"4.9","376","376","2050","0","VRANLC"
"4.2","320","320","1","0","MPI_Init()"
"0.8","59","59","4","0","MPI_Allreduce()"
"0.1","5","5","38930.2","0","RANDLC"
"0.0","0.762","0.762","1","0","MPI_Bcast()"
"0.0","0.222","0.222","1","0","MPI_Barrier()"
"0.0","0.065","0.065","0.125","0","CHECK_TIMER_FLAG"
"0.0","0.0243","0.0243","0.125","0","PRINT_RESULTS"
"0.0","0.015","0.015","1","0","TIMER_START"
"0.0","0.00275","0.00275","1","0","MPI_Comm_rank()"
"0.0","0.00075","0.00075","1","0","TIMER_STOP"
"0.0","0.000375","0.000375","4","0","TIMER_CLEAR"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.000125","0.000125","1","0","TIMER_READ"
