"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0065","1:50.197","1","1",".TAU_application"
"100.0","1:38.200","1:50.197","1","753703","EMBAR"
"5.4","5,946","5,946","32770","0","VRANLC"
"4.9","5,410","5,410","1","0","MPI_Finalize()"
"0.3","324","324","1","0","MPI_Init()"
"0.2","223","223","4","0","MPI_Allreduce()"
"0.1","92","92","720915","0","RANDLC"
"0.0","0.312","0.312","1","0","MPI_Bcast()"
"0.0","0.22","0.22","0.5","0","CHECK_TIMER_FLAG"
"0.0","0.0695","0.0695","0.5","0","PRINT_RESULTS"
"0.0","0.014","0.014","1","0","MPI_Barrier()"
"0.0","0.007","0.007","1","0","TIMER_START"
"0.0","0.003","0.003","1","0","MPI_Comm_rank()"
"0.0","0.001","0.001","4","0","TIMER_CLEAR"
"0.0","0.001","0.001","1","0","TIMER_STOP"
"0.0","0","0","1","0","MPI_Comm_size()"
"0.0","0","0","1","0","TIMER_READ"
