"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00637","14,721","1","1",".TAU_application"
"100.0","12,253","14,721","1","118821","EMBAR"
"5.2","768","768","4098","0","VRANLC"
"4.8","707","707","1","0","MPI_Init()"
"3.5","515","515","1","0","MPI_Finalize()"
"3.1","458","458","4","0","MPI_Allreduce()"
"0.1","14","14","114706","0","RANDLC"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","1","1","1","0","MPI_Bcast()"
"0.0","0.00967","0.00967","1","0","TIMER_START"
"0.0","0.00324","0.00324","1","0","MPI_Comm_rank()"
"0.0","0.00189","0.00189","0.00390625","0","CHECK_TIMER_FLAG"
"0.0","0.000816","0.000816","4","0","TIMER_CLEAR"
"0.0","0.000691","0.000691","1","0","TIMER_STOP"
"0.0","0.000602","0.000602","0.00390625","0","PRINT_RESULTS"
"0.0","0.000246","0.000246","1","0","MPI_Comm_size()"
"0.0","0.000113","0.000113","1","0","TIMER_READ"
