"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0062","55:58.624","1","1",".TAU_application"
"100.0","52:14.876","55:58.624","1","4.29917E+07","EMBAR"
"5.7","3:11.864","3:11.864","1.04858E+06","0","VRANLC"
"0.8","25,484","25,484","4","0","MPI_Allreduce()"
"0.2","5,286","5,286","4.19431E+07","0","RANDLC"
"0.0","602","602","1","0","MPI_Init()"
"0.0","507","507","1","0","MPI_Finalize()"
"0.0","1","1","1","0","MPI_Barrier()"
"0.0","1","1","1","0","MPI_Bcast()"
"0.0","0.0148","0.0148","1","0","TIMER_START"
"0.0","0.00319","0.00319","1","0","MPI_Comm_rank()"
"0.0","0.00194","0.00194","0.00390625","0","CHECK_TIMER_FLAG"
"0.0","0.000793","0.000793","4","0","TIMER_CLEAR"
"0.0","0.000691","0.000691","1","0","TIMER_STOP"
"0.0","0.000676","0.000676","0.00390625","0","PRINT_RESULTS"
"0.0","0.000234","0.000234","1","0","MPI_Comm_size()"
"0.0","0.000152","0.000152","1","0","TIMER_READ"
