"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0065","6,455","1","1",".TAU_application"
"100.0","382","6,455","1","1447","EMBAR"
"84.3","5,440","5,440","1","0","MPI_Finalize()"
"9.4","607","607","1","0","MPI_Init()"
"0.4","23","23","130","0","VRANLC"
"0.0","0.356","0.356","1","0","MPI_Bcast()"
"0.0","0.292","0.292","4","0","MPI_Allreduce()"
"0.0","0.226","0.226","0.5","0","CHECK_TIMER_FLAG"
"0.0","0.168","0.168","1299","0","RANDLC"
"0.0","0.0665","0.0665","0.5","0","PRINT_RESULTS"
"0.0","0.0165","0.0165","1","0","MPI_Barrier()"
"0.0","0.005","0.005","1","0","TIMER_START"
"0.0","0.0035","0.0035","1","0","MPI_Comm_rank()"
"0.0","0.0005","0.0005","4","0","TIMER_CLEAR"
"0.0","0","0","1","0","MPI_Comm_size()"
"0.0","0","0","1","0","TIMER_READ"
"0.0","0","0","1","0","TIMER_STOP"
