"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0065","6,561","1","1",".TAU_application"
"100.0","765","6,561","1","3239","EMBAR"
"82.6","5,421","5,421","1","0","MPI_Finalize()"
"5.0","325","325","1","0","MPI_Init()"
"0.7","46","46","258","0","VRANLC"
"0.0","0.6","0.6","4","0","MPI_Allreduce()"
"0.0","0.408","0.408","2963","0","RANDLC"
"0.0","0.34","0.34","1","0","MPI_Bcast()"
"0.0","0.215","0.215","0.5","0","CHECK_TIMER_FLAG"
"0.0","0.068","0.068","0.5","0","PRINT_RESULTS"
"0.0","0.0135","0.0135","1","0","MPI_Barrier()"
"0.0","0.005","0.005","1","0","TIMER_START"
"0.0","0.0035","0.0035","1","0","MPI_Comm_rank()"
"0.0","0.0005","0.0005","4","0","TIMER_CLEAR"
"0.0","0.0005","0.0005","1","0","TIMER_READ"
"0.0","0.0005","0.0005","1","0","TIMER_STOP"
"0.0","0","0","1","0","MPI_Comm_size()"
