"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00413","1,091","1","1",".TAU_application"
"100.0","0.0757","1,091","1","64.0312","FT"
"63.1","0.0415","688","1","10.0312","SETUP"
"63.0","686","686","1","0","MPI_Init()"
"36.5","398","398","1","0","MPI_Finalize()"
"0.3","0.0142","3","7","35","FFT"
"0.2","2","2","14","0","MPI_Alltoall()"
"0.2","0.0185","2","7","21","TRANSPOSE_X_Y"
"0.2","0.00539","2","7","7","TRANSPOSE_X_Y_GLOBAL"
"0.1","0.941","0.941","2","0","MPI_Comm_split()"
"0.1","0.883","0.883","5","0","MPI_Bcast()"
"0.1","0.0877","0.878","21","357","CFFTS1"
"0.1","0.319","0.786","336","1680","CFFTZ"
"0.0","0.467","0.467","1680","0","FFTZ2"
"0.0","0.0154","0.217","7","21","TRANSPOSE_X_Z"
"0.0","0.00364","0.173","7","7","TRANSPOSE_X_Z_GLOBAL"
"0.0","0.108","0.108","1","0","MPI_Barrier()"
"0.0","0.0159","0.0636","5","5","CHECKSUM"
"0.0","0.0526","0.0526","2","0","COMPUTE_INDEXMAP"
"0.0","0.0148","0.0502","2","68","COMPUTE_INITIAL_CONDITIONS"
"0.0","0.0477","0.0477","5","0","MPI_Reduce()"
"0.0","0.0314","0.0318","2","2","FFT_INIT"
"0.0","0.0308","0.0308","7","0","TRANSPOSE_X_Y_FINISH"
"0.0","0.0268","0.0276","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0233","0.0233","7","0","TRANSPOSE_X_Z_LOCAL"
"0.0","0.0225","0.0225","2","0","TIMER_START"
"0.0","0.00995","0.0189","4","53.875","IPOW46"
"0.0","0.0135","0.0135","85.875","0","RANDLC"
"0.0","0.0119","0.0119","1","0","ALLOC_SPACE"
"0.0","0.0119","0.0119","32","0","VRANLC"
"0.0","0.0105","0.0105","7","0","TRANSPOSE_X_Y_LOCAL"
"0.0","0.0073","0.0073","5","0","EVOLVE"
"0.0","0.00595","0.00595","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00544","0.00544","32","0","TIMER_CLEAR"
"0.0","0.00539","0.00539","7","0","TRANSPOSE_X_Z_FINISH"
"0.0","0.00414","0.00414","23","0","ILOG2"
"0.0","0.00236","0.00236","0.015625","0","PRINT_RESULTS"
"0.0","0.000953","0.000953","2","0","TIMER_STOP"
"0.0","0.0005","0.0005","1","0","MPI_Comm_size()"
"0.0","0.000313","0.000313","1","0","VERIFY"
"0.0","0.000234","0.000234","1","0","MPI_Comm_rank()"
"0.0","6.25E-05","6.25E-05","1.01562","0","TIMER_READ"
"0.0","1.56E-05","1.56E-05","0.015625","0","SET_CLASS"
