"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00419","1,172","1","1",".TAU_application"
"100.0","0.0701","1,171","1","64.125","FT"
"68.5","802","802","1","0","MPI_Finalize()"
"31.2","0.0605","365","1","10.125","SETUP"
"31.1","364","364","1","0","MPI_Init()"
"0.2","0.0331","2","7","28","FFT"
"0.1","0.00594","1","7","7","TRANSPOSE2_GLOBAL"
"0.1","1","1","7","0","MPI_Alltoall()"
"0.1","0.0105","1","2","6","TRANSPOSE_XY_Z"
"0.1","1","1","5","0","MPI_Bcast()"
"0.0","0.114","0.553","84","420","CFFTZ"
"0.0","0.00331","0.541","5","15","TRANSPOSE_X_YZ"
"0.0","0.1","0.47","14","70","CFFTS1"
"0.0","0.447","0.447","2","0","MPI_Comm_split()"
"0.0","0.439","0.439","420","0","FFTZ2"
"0.0","0.04","0.227","7","35","CFFTS2"
"0.0","0.202","0.202","2","0","COMPUTE_INDEXMAP"
"0.0","0.0965","0.0965","1","0","MPI_Barrier()"
"0.0","0.088","0.088","7","0","TRANSPOSE2_LOCAL"
"0.0","0.0254","0.0777","5","5","CHECKSUM"
"0.0","0.0085","0.0594","2","12","COMPUTE_INITIAL_CONDITIONS"
"0.0","0.0522","0.0522","5","0","MPI_Reduce()"
"0.0","0.0314","0.0314","0.0625","0","CHECK_TIMER_FLAG"
"0.0","0.0308","0.0308","4","0","VRANLC"
"0.0","0.0307","0.0307","5","0","EVOLVE"
"0.0","0.0293","0.0293","7","0","TRANSPOSE2_FINISH"
"0.0","0.0284","0.0291","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0278","0.0281","2","2","FFT_INIT"
"0.0","0.0104","0.0194","4","54.75","IPOW46"
"0.0","0.0168","0.0168","2","0","TIMER_START"
"0.0","0.0149","0.0149","1","0","ALLOC_SPACE"
"0.0","0.00969","0.00969","58.75","0","RANDLC"
"0.0","0.009","0.009","0.0625","0","PRINT_RESULTS"
"0.0","0.00513","0.00513","32","0","TIMER_CLEAR"
"0.0","0.00375","0.00375","23","0","ILOG2"
"0.0","0.000937","0.000937","2","0","TIMER_STOP"
"0.0","0.000438","0.000438","1","0","MPI_Comm_size()"
"0.0","0.000313","0.000313","1","0","VERIFY"
"0.0","0.00025","0.00025","1","0","MPI_Comm_rank()"
"0.0","0.00025","0.00025","1.0625","0","TIMER_READ"
"0.0","0","0","0.0625","0","SET_CLASS"
