"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00366","1,195","1","1",".TAU_application"
"100.0","0.105","1,195","1","64.0312","FT"
"40.2","479","479","1","0","MPI_Finalize()"
"36.2","0.0459","433","1","10.0312","SETUP"
"36.0","429","429","1","0","MPI_Init()"
"20.1","0.0773","239","7","28","FFT"
"8.1","0.0172","97","7","7","TRANSPOSE2_GLOBAL"
"8.1","97","97","7","0","MPI_Alltoall()"
"6.5","1","77","1344","10752","CFFTZ"
"6.3","0.0156","75","2","6","TRANSPOSE_XY_Z"
"6.3","75","75","10752","0","FFTZ2"
"5.4","13","64","14","910","CFFTS1"
"5.3","0.0119","63","5","15","TRANSPOSE_X_YZ"
"3.0","9","35","7","455","CFFTS2"
"1.9","22","22","7","0","TRANSPOSE2_LOCAL"
"1.8","21","21","2","0","COMPUTE_INDEXMAP"
"1.7","19","19","7","0","TRANSPOSE2_FINISH"
"1.0","12","12","5","0","EVOLVE"
"0.4","4","4","1","0","MPI_Barrier()"
"0.2","0.00878","2","2","20","COMPUTE_INITIAL_CONDITIONS"
"0.2","2","2","8","0","VRANLC"
"0.1","1","1","2","0","MPI_Comm_split()"
"0.1","1","1","1","0","ALLOC_SPACE"
"0.1","0.883","0.883","5","0","MPI_Bcast()"
"0.1","0.0341","0.778","5","5","CHECKSUM"
"0.1","0.744","0.744","5","0","MPI_Reduce()"
"0.0","0.0817","0.0822","2","2","FFT_INIT"
"0.0","0.0406","0.0406","2","0","TIMER_START"
"0.0","0.0136","0.0253","4","87.4688","IPOW46"
"0.0","0.0232","0.0237","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0127","0.0127","95.4688","0","RANDLC"
"0.0","0.00625","0.00625","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00555","0.00555","23","0","ILOG2"
"0.0","0.0047","0.0047","32","0","TIMER_CLEAR"
"0.0","0.00233","0.00233","0.015625","0","PRINT_RESULTS"
"0.0","0.00205","0.00205","2","0","TIMER_STOP"
"0.0","0.000375","0.000375","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1","0","VERIFY"
"0.0","0.000188","0.000188","1.01562","0","TIMER_READ"
"0.0","0.000141","0.000141","1","0","MPI_Comm_rank()"
"0.0","1.56E-05","1.56E-05","0.015625","0","SET_CLASS"
