"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0065","43,386","1","1",".TAU_application"
"100.0","0.102","43,386","1","34","int_main(int_char_**)"
"75.8","14,176","32,867","1","1.34218E+08","void_create_seq(double_double)"
"43.1","18,691","18,691","1.34218E+08","0","double_randlc(double_*_double_*)"
"14.2","6,166","6,166","1","0","MPI_Finalize()"
"9.1","3,454","3,945","11","33","void_rank(int)"
"1.1","472","472","11","0","MPI_Alltoallv()"
"0.8","335","335","1","0","MPI_Init()"
"0.2","68","69","1","1.5","void_full_verify(void)"
"0.0","17","17","11","0","MPI_Allreduce()"
"0.0","0.941","0.941","0.5","0","MPI_Wait()"
"0.0","0.892","0.892","1","0","void_alloc_space(void)"
"0.0","0.181","0.181","1","0","MPI_Comm_dup()"
"0.0","0.17","0.17","1","0","MPI_Bcast()"
"0.0","0.118","0.118","0.5","0","int_check_timer_flag(void)"
"0.0","0.058","0.058","11","0","MPI_Alltoall()"
"0.0","0.045","0.045","0.5","0","void_c_print_results(char_*_char_int_int_int_int_int_int_double_double_char_*_int_char_*_char_*_char_*_char_*_char_*_char_*_char_*_char_*)"
"0.0","0.026","0.026","2","0","MPI_Reduce()"
"0.0","0.0035","0.0085","1","27.5","double_find_my_seed(int_int_long_double_double)"
"0.0","0.0055","0.0055","1","0","void_timer_start(int)"
"0.0","0.0045","0.0045","0.5","0","MPI_Send()"
"0.0","0.0035","0.0035","1","0","MPI_Comm_rank()"
"0.0","0.003","0.003","0.5","0","MPI_Irecv()"
"0.0","0.002","0.002","1","0","MPI_Comm_size()"
"0.0","0.002","0.002","7","0","void_timer_clear(int)"
"0.0","0.001","0.001","1","0","void_timer_stop(int)"
"0.0","0","0","1","0","double_timer_read(int)"
