"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00575","949","1","1",".TAU_application"
"100.0","0.0684","949","1","33.25","int_main(int_char_**)"
"47.1","447","447","1","0","MPI_Init()"
"46.0","436","436","1","0","MPI_Finalize()"
"4.8","20","45","1","131072","void_create_seq(double_double)"
"2.6","24","24","131092","0","double_randlc(double_*_double_*)"
"2.0","2","18","11","33","void_rank(int)"
"1.6","14","14","11","0","MPI_Allreduce()"
"0.1","1","1","11","0","MPI_Alltoallv()"
"0.1","0.483","0.483","11","0","MPI_Alltoall()"
"0.0","0.459","0.459","1","0","MPI_Comm_dup()"
"0.0","0.258","0.258","1","0","MPI_Bcast()"
"0.0","0.174","0.212","1","2.625","void_full_verify(void)"
"0.0","0.0344","0.0344","2","0","MPI_Reduce()"
"0.0","0.0334","0.0334","0.875","0","MPI_Wait()"
"0.0","0.0248","0.0248","0.125","0","int_check_timer_flag(void)"
"0.0","0.0192","0.0192","1","0","void_alloc_space(void)"
"0.0","0.00613","0.01","1","19.75","double_find_my_seed(int_int_long_double_double)"
"0.0","0.00937","0.00937","0.125","0","void_c_print_results(char_*_char_int_int_int_int_int_int_double_double_char_*_int_char_*_char_*_char_*_char_*_char_*_char_*_char_*_char_*)"
"0.0","0.00325","0.00325","1","0","MPI_Comm_rank()"
"0.0","0.00287","0.00287","0.875","0","MPI_Send()"
"0.0","0.00287","0.00287","1","0","void_timer_start(int)"
"0.0","0.00263","0.00263","1","0","MPI_Comm_size()"
"0.0","0.00175","0.00175","0.875","0","MPI_Irecv()"
"0.0","0.00112","0.00112","7","0","void_timer_clear(int)"
"0.0","0.000375","0.000375","1","0","void_timer_stop(int)"
"0.0","0","0","1","0","double_timer_read(int)"
