"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.007","3,571","1","1",".TAU_application"
"100.0","0.0912","3,571","1","33.25","int_main(int_char_**)"
"59.3","911","2,119","1","8.38861E+06","void_create_seq(double_double)"
"33.8","1,207","1,207","8.38863E+06","0","double_randlc(double_*_double_*)"
"15.8","224","563","11","33","void_rank(int)"
"14.3","508","508","1","0","MPI_Finalize()"
"10.0","358","358","1","0","MPI_Init()"
"8.4","301","301","11","0","MPI_Allreduce()"
"1.1","37","37","11","0","MPI_Alltoallv()"
"0.5","18","19","1","2.625","void_full_verify(void)"
"0.0","1","1","0.875","0","MPI_Wait()"
"0.0","0.908","0.908","1","0","void_alloc_space(void)"
"0.0","0.581","0.581","11","0","MPI_Alltoall()"
"0.0","0.426","0.426","1","0","MPI_Comm_dup()"
"0.0","0.247","0.247","1","0","MPI_Bcast()"
"0.0","0.075","0.075","2","0","MPI_Reduce()"
"0.0","0.0246","0.0246","0.125","0","int_check_timer_flag(void)"
"0.0","0.00662","0.0103","1","25.75","double_find_my_seed(int_int_long_double_double)"
"0.0","0.00887","0.00887","0.125","0","void_c_print_results(char_*_char_int_int_int_int_int_int_double_double_char_*_int_char_*_char_*_char_*_char_*_char_*_char_*_char_*_char_*)"
"0.0","0.00737","0.00737","1","0","void_timer_start(int)"
"0.0","0.00387","0.00387","0.875","0","MPI_Irecv()"
"0.0","0.00337","0.00337","0.875","0","MPI_Send()"
"0.0","0.00237","0.00237","1","0","MPI_Comm_rank()"
"0.0","0.00225","0.00225","1","0","MPI_Comm_size()"
"0.0","0.0015","0.0015","7","0","void_timer_clear(int)"
"0.0","0.001","0.001","1","0","void_timer_stop(int)"
"0.0","0.000125","0.000125","1","0","double_timer_read(int)"
