"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00337","57:06.551","1","1",".TAU_application"
"100.0","41:35.603","57:06.551","1","11276.1","int_main(int_char_**)"
"22.3","7:29.215","12:43.471","1024","2.14748E+09","void_CalcKinematicsForElems(Domain"
"9.2","5:14.560","5:14.560","2.14958E+09","0","Real_t_CalcElemVolume(const"
"3.7","2:08.033","2:08.033","1023","0","MPI_Allreduce()"
"0.7","3,445","24,409","3073","19977","void_CommSend(Domain"
"0.6","20,868","20,868","3073","0","MPI_Waitall()"
"0.2","4,946","5,395","1024","4608","void_CommSyncPosVel(Domain"
"0.1","4,969","4,969","1","0","MPI_Finalize()"
"0.1","1,343","2,868","1025","8200","void_CommSBN(Domain"
"0.1","1,974","1,974","13831","0","MPI_Wait()"
"0.0","467","848","1","2.09716E+06","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.0","545","547","1024","4096","void_CommMonoQ(Domain"
"0.0","371","371","1","0","MPI_Init()"
"0.0","92","92","13831","0","MPI_Isend()"
"0.0","33","33","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","10","32","3073","16904","void_CommRecv(Domain"
"0.0","20","20","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","19","19","13831","0","MPI_Irecv()"
"0.0","15","15","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","6","6","9221","0","MPI_Comm_rank()"
"0.0","3","3","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","1","1","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.805","0.805","1","0","MPI_Barrier()"
"0.0","0.752","0.752","1","0","void_Domain::~Domain()"
"0.0","0.0517","0.0517","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.0357","0.0357","1","0","MPI_Reduce()"
"0.0","0.0166","0.0166","0.125","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.00988","0.00988","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.0025","0.00413","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00162","0.00162","2","0","StrToInt"
"0.0","0.0005","0.0005","1","0","MPI_Comm_size()"
