"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00348","33,563","1","1",".TAU_application"
"100.0","19,425","33,563","1","716.037","int_main(int_char_**)"
"17.7","3,491","5,948","64","1.67772E+07","void_CalcKinematicsForElems(Domain"
"12.6","4,216","4,216","1","0","MPI_Finalize()"
"7.4","2,495","2,495","1.70394E+07","0","Real_t_CalcElemVolume(const"
"6.5","2,168","2,168","63","0","MPI_Allreduce()"
"2.2","102","723","193","1777.26","void_CommSend(Domain"
"1.8","614","614","193","0","MPI_Waitall()"
"1.7","560","560","1","0","MPI_Init()"
"0.6","190","190","1391.26","0","MPI_Wait()"
"0.5","30","168","65","825.741","void_CommSBN(Domain"
"0.5","111","163","64","438.519","void_CommSyncPosVel(Domain"
"0.4","82","135","1","262150","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.1","26","26","1","0","MPI_Barrier()"
"0.1","17","18","64","320","void_CommMonoQ(Domain"
"0.0","7","7","1391.26","0","MPI_Isend()"
"0.0","5","5","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","4","4","1","0","MPI_Reduce()"
"0.0","2","2","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","0.752","2","193","1584.26","void_CommRecv(Domain"
"0.0","2","2","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","1","1","1391.26","0","MPI_Irecv()"
"0.0","1","1","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.965","0.965","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.501","0.501","581","0","MPI_Comm_rank()"
"0.0","0.176","0.176","1","0","void_Domain::~Domain()"
"0.0","0.0108","0.0108","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.01","0.01","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.00185","0.00359","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00333","0.00333","0.037037","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
"0.0","0.00174","0.00174","2","0","StrToInt"
"0.0","0.000296","0.000296","1","0","MPI_Comm_size()"
