"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00334","9,560","1","1",".TAU_application"
"100.0","4,553","9,560","1","188.001","int_main(int_char_**)"
"15.5","865","1,481","16","4.1943E+06","void_CalcKinematicsForElems(Domain"
"12.9","1,235","1,235","15","0","MPI_Allreduce()"
"7.5","28","717","49","694.17","void_CommSend(Domain"
"6.9","656","656","4.45645E+06","0","Real_t_CalcElemVolume(const"
"6.8","646","646","49","0","MPI_Waitall()"
"5.9","565","565","1","0","MPI_Init()"
"4.8","455","455","1","0","MPI_Finalize()"
"3.5","335","335","596.17","0","MPI_Wait()"
"2.3","35","221","16","179.468","void_CommSyncPosVel(Domain"
"1.5","8","143","17","364.369","void_CommSBN(Domain"
"1.5","89","142","1","262150","void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t)"
"0.4","42","42","596.17","0","MPI_Isend()"
"0.2","6","21","16","101.333","void_CommMonoQ(Domain"
"0.1","11","11","1","0","MPI_Barrier()"
"0.1","9","9","1","0","MPI_Reduce()"
"0.0","4","4","1","0","void_Domain::BuildMesh(Int_t_Int_t_Int_t)"
"0.0","3","3","1","1","void_Domain::CreateRegionIndexSets(Int_t_Int_t)"
"0.0","2","2","1","0","void_Domain::SetupElementConnectivities(Int_t)"
"0.0","1","1","1","0","void_Domain::SetupCommBuffers(Int_t)"
"0.0","0.204","1","49","645.17","void_CommRecv(Domain"
"0.0","1","1","1","0","void_Domain::SetupBoundaryConditions(Int_t)"
"0.0","0.841","0.841","596.17","0","MPI_Irecv()"
"0.0","0.297","0.297","1","0","void_Domain::~Domain()"
"0.0","0.11","0.11","149","0","MPI_Comm_rank()"
"0.0","0.0118","0.0118","1","0","void_InitMeshDecomp(Int_t_Int_t_Int_t"
"0.0","0.00839","0.00839","1","0","void_Domain::SetupSymmetryPlanes(Int_t)"
"0.0","0.00416","0.00602","1","2","void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts"
"0.0","0.00186","0.00186","2","0","StrToInt"
"0.0","0.000487","0.000487","1","0","MPI_Comm_size()"
"0.0","0.000125","0.000125","0.00137174","0","void_VerifyAndWriteFinalOutput(Real_t_Domain"
