Name,%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive
.TAU_application,100.0,0.00363,13,345,1,1,13345270
int_main(int_char_**),100.0,3,932,13,345,1,1420.12,13345266
MPI_Finalize(),51.2,6,829,6,829,1,0,6829726
void_CalcKinematicsForElems(Domain,11.1,875,1,487,128,4.1943E+06,11624
Real_t_CalcElemVolume(const,4.6,617,617,4.22707E+06,0,0
MPI_Allreduce(),4.5,595,595,127,0,4692
MPI_Init(),2.8,372,372,1,0,372605
void_CommSend(Domain,0.6,20,75,385,2505,196
MPI_Waitall(),0.4,50,50,385,0,131
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),0.1,9,15,1,32774,15620
void_CommSyncPosVel(Domain,0.1,11,15,128,576,121
MPI_Wait(),0.1,10,10,1735,0,6
void_CommSBN(Domain,0.1,4,10,129,1032,80
void_CommMonoQ(Domain,0.1,6,6,128,512,54
MPI_Isend(),0.0,4,4,1735,0,3
void_CommRecv(Domain,0.0,0.708,2,385,2120,6
MPI_Irecv(),0.0,1,1,1735,0,1
void_Domain::BuildMesh(Int_t_Int_t_Int_t),0.0,0.509,0.509,1,0,509
MPI_Comm_rank(),0.0,0.411,0.411,1157,0,0
void_Domain::CreateRegionIndexSets(Int_t_Int_t),0.0,0.361,0.362,1,1,362
void_Domain::SetupElementConnectivities(Int_t),0.0,0.249,0.249,1,0,249
void_Domain::SetupCommBuffers(Int_t),0.0,0.193,0.193,1,0,193
MPI_Reduce(),0.0,0.0611,0.0611,1,0,61
MPI_Barrier(),0.0,0.0471,0.0471,1,0,47
void_Domain::SetupBoundaryConditions(Int_t),0.0,0.0356,0.0356,1,0,36
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.0,0.0105,0.0105,0.125,0,84
void_InitMeshDecomp(Int_t_Int_t_Int_t,0.0,0.00875,0.00875,1,0,9
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,0.0,0.00162,0.00337,1,2,3
void_Domain::~Domain(),0.0,0.00275,0.00275,1,0,3
void_Domain::SetupSymmetryPlanes(Int_t),0.0,0.00225,0.00225,1,0,2
StrToInt,0.0,0.00175,0.00175,2,0,1
MPI_Comm_size(),0.0,0.000375,0.000375,1,0,0
