"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00615","1,312","1","1",".TAU_application"
"100.0","0.285","1,312","1","130.006","MG_MPI"
"52.7","691","691","1","0","MPI_Init()"
"39.5","518","518","1","0","MPI_Finalize()"
"5.9","0.541","76","41","1476","MG3P"
"4.8","2","62","947","13844.2","COMM3"
"3.4","44","44","4736.44","0","MPI_Wait()"
"3.0","3","39","4551.94","4551.94","TAKE3"
"2.7","9","35","330","330","RESID"
"1.7","5","22","328","328","PSINV"
"1.6","1","21","287","287","RPRJ3"
"1.0","3","13","4551.94","4551.94","GIVE3"
"0.8","2","10","287","287","INTERP"
"0.8","10","10","4736.44","0","MPI_Send()"
"0.7","0.151","8","287","553.5","COMM3_EX"
"0.6","0.0767","7","184.5","184.5","TAKE3_EX"
"0.6","5","7","4736.44","4736.44","READY"
"0.5","1","6","2","4619.52","ZRAN3"
"0.3","3","3","6","0","MPI_Barrier()"
"0.2","2","2","88","0","MPI_Allreduce()"
"0.1","1","1","4736.44","0","MPI_Irecv()"
"0.1","0.209","1","4","8","NORM2U3"
"0.1","0.904","0.904","7","0","MPI_Bcast()"
"0.1","0.889","0.889","479.344","0","ZERO3"
"0.0","0.469","0.469","2048","0","VRANLC"
"0.0","0.375","0.375","2223.58","0","RANDLC"
"0.0","0.0768","0.308","184.5","184.5","GIVE3_EX"
"0.0","0.0705","0.0705","363.52","0","BUBBLE"
"0.0","0.0203","0.0386","6","109.578","POWER"
"0.0","0.0334","0.034","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0275","0.0275","1","0","ALLOC_SPACE"
"0.0","0.0268","0.0268","2","0","TIMER_START"
"0.0","0.0183","0.0183","2","0","SETUP"
"0.0","0.0151","0.0151","1","0","MPI_Reduce()"
"0.0","0.00302","0.00302","17","0","TIMER_CLEAR"
"0.0","0.00101","0.00101","2","0","TIMER_STOP"
"0.0","0.00084","0.00084","0.00195312","0","CHECK_TIMER_FLAG"
"0.0","0.000387","0.000387","1","0","MPI_Comm_size()"
"0.0","0.00024","0.00024","0.00195312","0","PRINT_RESULTS"
"0.0","0.000232","0.000232","1","0","MPI_Comm_rank()"
"0.0","0.000133","0.000133","1.00195","0","TIMER_READ"
