"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00575","1,248","1","1",".TAU_application"
"100.0","0.184","1,248","1","80.0469","MG_MPI"
"54.0","674","674","1","0","MPI_Init()"
"44.6","556","556","1","0","MPI_Finalize()"
"0.9","0.163","11","16","416","MG3P"
"0.9","0.771","10","276","4492","COMM3"
"0.5","0.763","6","1488","1488","TAKE3"
"0.5","6","6","1536","0","MPI_Wait()"
"0.4","0.653","4","98","98","RESID"
"0.3","0.15","3","80","80","RPRJ3"
"0.3","0.359","3","96","96","PSINV"
"0.2","0.771","2","1488","1488","GIVE3"
"0.2","0.298","2","2","1425.66","ZRAN3"
"0.1","1","1","1536","0","MPI_Send()"
"0.1","0.878","1","1536","1536","READY"
"0.1","1","1","88","0","MPI_Allreduce()"
"0.1","0.194","1","80","80","INTERP"
"0.1","0.0469","0.865","80","144","COMM3_EX"
"0.1","0.762","0.762","7","0","MPI_Bcast()"
"0.1","0.742","0.742","6","0","MPI_Barrier()"
"0.1","0.0227","0.713","48","48","TAKE3_EX"
"0.0","0.547","0.547","1536","0","MPI_Irecv()"
"0.0","0.0328","0.215","4","8","NORM2U3"
"0.0","0.13","0.13","112","0","ZERO3"
"0.0","0.108","0.108","627.406","0","RANDLC"
"0.0","0.102","0.102","512","0","VRANLC"
"0.0","0.0216","0.0614","48","48","GIVE3_EX"
"0.0","0.0541","0.0541","273.656","0","BUBBLE"
"0.0","0.0156","0.0294","6","81.4062","POWER"
"0.0","0.0257","0.0264","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0207","0.0207","1","0","ALLOC_SPACE"
"0.0","0.00911","0.00911","1","0","MPI_Reduce()"
"0.0","0.00898","0.00898","2","0","SETUP"
"0.0","0.00777","0.00777","2","0","TIMER_START"
"0.0","0.00653","0.00653","0.015625","0","CHECK_TIMER_FLAG"
"0.0","0.00291","0.00291","17","0","TIMER_CLEAR"
"0.0","0.00222","0.00222","0.015625","0","PRINT_RESULTS"
"0.0","0.000703","0.000703","2","0","TIMER_STOP"
"0.0","0.000484","0.000484","1","0","MPI_Comm_size()"
"0.0","0.000297","0.000297","1","0","MPI_Comm_rank()"
"0.0","0.000203","0.000203","1.01562","0","TIMER_READ"
