"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00737","1,025","1","1",".TAU_application"
"100.0","0.136","1,025","1","70.0938","MG_MPI"
"67.9","696","696","1","0","MPI_Finalize()"
"31.3","321","321","1","0","MPI_Init()"
"0.4","0.28","4","125","1969.5","COMM3"
"0.3","0.0541","3","11","176","MG3P"
"0.2","2","2","673","0","MPI_Wait()"
"0.2","0.233","2","651","651","TAKE3"
"0.2","0.102","1","2","308.875","ZRAN3"
"0.2","0.0299","1","46","46","RESID"
"0.1","1","1","88","0","MPI_Allreduce()"
"0.1","0.0232","1","44","44","PSINV"
"0.1","0.229","0.992","651","651","GIVE3"
"0.1","0.777","0.777","673","0","MPI_Send()"
"0.1","0.0137","0.756","33","33","RPRJ3"
"0.1","0.755","0.755","7","0","MPI_Bcast()"
"0.1","0.591","0.591","6","0","MPI_Barrier()"
"0.1","0.0277","0.542","33","33","INTERP"
"0.1","0.0204","0.515","33","66","COMM3_EX"
"0.0","0.00438","0.471","4","8","NORM2U3"
"0.0","0.258","0.457","673","673","READY"
"0.0","0.00772","0.457","22","22","TAKE3_EX"
"0.0","0.199","0.199","673","0","MPI_Irecv()"
"0.0","0.0295","0.0301","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0241","0.0241","140.875","0","BUBBLE"
"0.0","0.00834","0.0226","22","22","GIVE3_EX"
"0.0","0.00997","0.0181","6","57.625","POWER"
"0.0","0.0161","0.0161","53.5","0","ZERO3"
"0.0","0.015","0.015","1","0","ALLOC_SPACE"
"0.0","0.0143","0.0143","99.625","0","RANDLC"
"0.0","0.0133","0.0133","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.0115","0.0115","1","0","MPI_Reduce()"
"0.0","0.0102","0.0102","2","0","SETUP"
"0.0","0.00897","0.00897","2","0","TIMER_START"
"0.0","0.00528","0.00528","32","0","VRANLC"
"0.0","0.00363","0.00363","0.03125","0","PRINT_RESULTS"
"0.0","0.00269","0.00269","17","0","TIMER_CLEAR"
"0.0","0.000875","0.000875","2","0","TIMER_STOP"
"0.0","0.000344","0.000344","1","0","MPI_Comm_size()"
"0.0","0.000313","0.000313","1","0","MPI_Comm_rank()"
"0.0","0.000219","0.000219","1.03125","0","TIMER_READ"
