"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00572","1,236","1","1",".TAU_application"
"100.0","0.355","1,236","1","150.006","MG_MPI"
"45.1","557","557","1","0","MPI_Init()"
"41.5","513","513","1","0","MPI_Finalize()"
"10.1","0.601","124","51","1836","MG3P"
"8.7","2","108","1177","17203.2","COMM3"
"7.5","92","92","5885.81","0","MPI_Wait()"
"6.6","4","82","5656.31","5656.31","TAKE3"
"4.5","10","55","410","410","RESID"
"3.1","6","38","408","408","PSINV"
"2.7","2","32","357","357","RPRJ3"
"1.4","2","17","357","357","INTERP"
"1.2","3","15","5656.31","5656.31","GIVE3"
"1.2","0.167","15","357","688.5","COMM3_EX"
"1.2","0.0871","14","229.5","229.5","TAKE3_EX"
"1.0","0.965","12","2","4619.52","ZRAN3"
"1.0","11","11","5885.81","0","MPI_Send()"
"0.8","10","10","88","0","MPI_Allreduce()"
"0.7","6","8","5885.81","5885.81","READY"
"0.3","3","3","7","0","MPI_Bcast()"
"0.2","2","2","6","0","MPI_Barrier()"
"0.2","2","2","5885.81","0","MPI_Irecv()"
"0.1","0.2","1","4","8","NORM2U3"
"0.1","0.956","0.956","595.281","0","ZERO3"
"0.0","0.458","0.458","2048","0","VRANLC"
"0.0","0.363","0.363","2223.58","0","RANDLC"
"0.0","0.0848","0.338","229.5","229.5","GIVE3_EX"
"0.0","0.241","0.241","2","0","TIMER_START"
"0.0","0.0675","0.0675","363.52","0","BUBBLE"
"0.0","0.0192","0.0367","6","109.578","POWER"
"0.0","0.0345","0.0351","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0276","0.0276","1","0","ALLOC_SPACE"
"0.0","0.0181","0.0181","2","0","SETUP"
"0.0","0.0143","0.0143","1","0","MPI_Reduce()"
"0.0","0.00283","0.00283","17","0","TIMER_CLEAR"
"0.0","0.00103","0.00103","2","0","TIMER_STOP"
"0.0","0.000764","0.000764","0.00195312","0","CHECK_TIMER_FLAG"
"0.0","0.000434","0.000434","1","0","MPI_Comm_size()"
"0.0","0.000332","0.000332","0.00195312","0","PRINT_RESULTS"
"0.0","0.000217","0.000217","1","0","MPI_Comm_rank()"
"0.0","0.000129","0.000129","1.00195","0","TIMER_READ"
