%Time,Exclusive,Inclusive,#Call,#Subrs,Inclusive,Name
100.0,0.00694,2,164,1,1,2164435,.TAU_application
100.0,0.244,2,164,1,58.0938,2164428,MG_MPI
40.7,880,880,1,0,880626,MPI_Finalize()
24.6,0.138,533,5,205,106624,MG3P
20.5,240,443,47,47,9437,RESID
16.0,0.461,346,134,2284.5,2587,COMM3
16.0,346,346,1,0,346236,MPI_Init()
11.5,15,249,759,759,329,GIVE3
10.8,234,234,769,0,305,MPI_Send()
8.3,92,180,45,45,4005,PSINV
5.4,34,116,2,66443,58279,ZRAN3
4.2,45,90,40,40,2253,RPRJ3
2.7,58,59,769,769,77,READY
2.0,40,43,40,40,1098,INTERP
2.0,42,42,51.5,0,826,ZERO3
1.8,11,38,759,759,51,TAKE3
1.6,25,34,4,8,8549,NORM2U3
1.4,29,29,769,0,38,MPI_Wait()
1.4,29,29,6,0,4877,MPI_Barrier()
0.9,18,18,32768,0,1,VRANLC
0.4,9,9,88,0,111,MPI_Allreduce()
0.2,4,4,33140.2,0,0,RANDLC
0.1,0.0266,3,40,30,77,COMM3_EX
0.1,0.00513,2,10,10,248,TAKE3_EX
0.1,1,1,1,0,1671,ALLOC_SPACE
0.0,0.858,0.858,7,0,123,MPI_Bcast()
0.0,0.801,0.801,769,0,1,MPI_Irecv()
0.0,0.0978,0.0978,555,0,0,BUBBLE
0.0,0.0532,0.0539,1,2,54,GET_ACTIVE_NPROCS
0.0,0.0243,0.0418,6,114.188,7,POWER
0.0,0.0153,0.0153,0.03125,0,491,CHECK_TIMER_FLAG
0.0,0.0149,0.0149,1,0,15,MPI_Reduce()
0.0,0.00559,0.0132,10,10,1,GIVE3_EX
0.0,0.011,0.011,2,0,6,TIMER_START
0.0,0.00909,0.00909,2,0,5,SETUP
0.0,0.00369,0.00369,0.03125,0,118,PRINT_RESULTS
0.0,0.00291,0.00291,17,0,0,TIMER_CLEAR
0.0,0.00159,0.00159,2,0,1,TIMER_STOP
0.0,0.000438,0.000438,1,0,0,MPI_Comm_size()
0.0,0.000313,0.000313,1.03125,0,0,TIMER_READ
0.0,0.000281,0.000281,1,0,0,MPI_Comm_rank()
