"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00641","1,079","1","1",".TAU_application"
"100.0","0.404","1,079","1","150.023","MG_MPI"
"48.5","523","523","1","0","MPI_Init()"
"47.9","517","517","1","0","MPI_Finalize()"
"2.9","0.458","30","51","1326","MG3P"
"2.4","2","25","871","12751.9","COMM3"
"1.7","18","18","4371.75","0","MPI_Wait()"
"1.4","1","14","4193.25","4193.25","TAKE3"
"1.1","0.962","11","308","308","RESID"
"0.8","0.582","8","306","306","PSINV"
"0.6","0.265","6","255","255","RPRJ3"
"0.6","0.375","6","255","255","INTERP"
"0.6","0.137","6","255","535.5","COMM3_EX"
"0.5","0.0734","5","178.5","178.5","TAKE3_EX"
"0.5","1","5","4193.25","4193.25","GIVE3"
"0.4","3","3","4371.75","0","MPI_Send()"
"0.3","2","3","4371.75","4371.75","READY"
"0.2","0.282","2","2","873.172","ZRAN3"
"0.1","1","1","88","0","MPI_Allreduce()"
"0.1","1","1","4371.75","0","MPI_Irecv()"
"0.1","1","1","6","0","MPI_Barrier()"
"0.1","0.693","0.693","7","0","MPI_Bcast()"
"0.0","0.0173","0.273","4","8","NORM2U3"
"0.0","0.076","0.218","178.5","178.5","GIVE3_EX"
"0.0","0.186","0.186","431.125","0","ZERO3"
"0.0","0.058","0.058","357.953","0","RANDLC"
"0.0","0.0492","0.0492","256","0","VRANLC"
"0.0","0.0451","0.0451","249.172","0","BUBBLE"
"0.0","0.0289","0.0296","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0159","0.0294","6","83.9531","POWER"
"0.0","0.0205","0.0205","1","0","ALLOC_SPACE"
"0.0","0.0201","0.0201","2","0","SETUP"
"0.0","0.0112","0.0112","1","0","MPI_Reduce()"
"0.0","0.0108","0.0108","2","0","TIMER_START"
"0.0","0.00302","0.00302","0.0078125","0","CHECK_TIMER_FLAG"
"0.0","0.00276","0.00276","17","0","TIMER_CLEAR"
"0.0","0.001","0.001","0.0078125","0","PRINT_RESULTS"
"0.0","0.000937","0.000937","2","0","TIMER_STOP"
"0.0","0.000422","0.000422","1","0","MPI_Comm_size()"
"0.0","0.000242","0.000242","1","0","MPI_Comm_rank()"
"0.0","0.000141","0.000141","1.00781","0","TIMER_READ"
