Name,#Call
.TAU_application,1
MPBT,1
ADI,201
SETUP_MPI,1
MPI_Init(),1
MPI_Finalize(),1
Y_SOLVE,201
Z_SOLVE,201
X_SOLVE,201
MPI_Wait(),24120
Y_SOLVE_CELL,2211
X_SOLVE_CELL,2211
Z_SOLVE_CELL,2211
COPY_FACES,202
COMPUTE_RHS,202
MPI_Waitall(),202
MPI_Isend(),13272
INITIALIZE,2
X_BACKSUBSTITUTE,2211
X_SEND_SOLVE_INFO,2010
EXACT_SOLUTION,38482.2
Y_BACKSUBSTITUTE,2211
X_UNPACK_SOLVE_INFO,2010
Z_BACKSUBSTITUTE,2211
Y_SEND_SOLVE_INFO,2010
MPI_Irecv(),13272
Z_SEND_SOLVE_INFO,2010
Y_UNPACK_SOLVE_INFO,2010
Z_UNPACK_SOLVE_INFO,2010
EXACT_RHS,1
X_SEND_BACKSUB_INFO,2010
Y_SEND_BACKSUB_INFO,2010
MPI_Barrier(),2
Z_SEND_BACKSUB_INFO,2010
ADD,201
LHSABINIT,6633
VERIFY,1
Z_RECEIVE_SOLVE_INFO,2010
Y_RECEIVE_SOLVE_INFO,2010
X_RECEIVE_SOLVE_INFO,2010
MPI_Comm_dup(),2
Z_RECEIVE_BACKSUB_INFO,2010
Y_RECEIVE_BACKSUB_INFO,2010
X_RECEIVE_BACKSUB_INFO,2010
ERROR_NORM,1
MPI_Bcast(),6
X_UNPACK_BACKSUB_INFO,2010
MPI_Allreduce(),2
Z_UNPACK_BACKSUB_INFO,2010
Y_UNPACK_BACKSUB_INFO,2010
LHSINIT,1
RHS_NORM,1
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SETUP_BTIO,1
SET_CLASS,0.00826446
