Name,#Call
.TAU_application,1
MPBT,1
ADI,201
Y_SOLVE,201
X_SOLVE,201
Z_SOLVE,201
MPI_Wait(),26532
SETUP_MPI,1
MPI_Init(),1
MPI_Finalize(),1
Y_SOLVE_CELL,2412
X_SOLVE_CELL,2412
Z_SOLVE_CELL,2412
COPY_FACES,202
COMPUTE_RHS,202
MPI_Waitall(),202
X_BACKSUBSTITUTE,2412
X_UNPACK_SOLVE_INFO,2211
Z_BACKSUBSTITUTE,2412
Y_BACKSUBSTITUTE,2412
MPI_Isend(),14478
INITIALIZE,2
EXACT_SOLUTION,127087
ADD,201
Y_UNPACK_SOLVE_INFO,2211
Z_UNPACK_SOLVE_INFO,2211
Z_SEND_SOLVE_INFO,2211
X_SEND_SOLVE_INFO,2211
EXACT_RHS,1
Y_SEND_SOLVE_INFO,2211
MPI_Irecv(),14478
MPI_Barrier(),2
X_SEND_BACKSUB_INFO,2211
VERIFY,1
Z_SEND_BACKSUB_INFO,2211
Y_SEND_BACKSUB_INFO,2211
LHSABINIT,7236
ERROR_NORM,1
Z_UNPACK_BACKSUB_INFO,2211
Z_RECEIVE_SOLVE_INFO,2211
X_RECEIVE_SOLVE_INFO,2211
Y_RECEIVE_SOLVE_INFO,2211
X_UNPACK_BACKSUB_INFO,2211
Z_RECEIVE_BACKSUB_INFO,2211
MPI_Allreduce(),2
Y_RECEIVE_BACKSUB_INFO,2211
Y_UNPACK_BACKSUB_INFO,2211
X_RECEIVE_BACKSUB_INFO,2211
LHSINIT,1
MPI_Comm_dup(),2
RHS_NORM,1
MPI_Bcast(),6
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SETUP_BTIO,1
SET_CLASS,0.00694444
