Name,#Call
.TAU_application,1
MPBT,1
ADI,251
Y_SOLVE,251
Z_SOLVE,251
Z_SOLVE_CELL,2761
Y_SOLVE_CELL,2761
X_SOLVE,251
COPY_FACES,252
X_SOLVE_CELL,2761
COMPUTE_RHS,252
MPI_Wait(),30120
X_BACKSUBSTITUTE,2761
Z_BACKSUBSTITUTE,2761
Y_BACKSUBSTITUTE,2761
MPI_Waitall(),252
ADD,251
INITIALIZE,2
EXACT_SOLUTION,9.14432E+06
X_UNPACK_SOLVE_INFO,2510
SETUP_MPI,1
MPI_Init(),1
MPI_Finalize(),1
EXACT_RHS,1
X_SEND_SOLVE_INFO,2510
VERIFY,1
MPI_Isend(),16572
Y_UNPACK_SOLVE_INFO,2510
Y_SEND_SOLVE_INFO,2510
Z_UNPACK_SOLVE_INFO,2510
Z_SEND_SOLVE_INFO,2510
MPI_Irecv(),16572
ERROR_NORM,1
X_SEND_BACKSUB_INFO,2510
MPI_Barrier(),2
Y_SEND_BACKSUB_INFO,2510
Z_SEND_BACKSUB_INFO,2510
Y_RECEIVE_SOLVE_INFO,2510
MPI_Allreduce(),2
Z_RECEIVE_SOLVE_INFO,2510
Z_UNPACK_BACKSUB_INFO,2510
LHSINIT,1
Y_UNPACK_BACKSUB_INFO,2510
X_UNPACK_BACKSUB_INFO,2510
RHS_NORM,1
X_RECEIVE_SOLVE_INFO,2510
LHSABINIT,8283
Z_RECEIVE_BACKSUB_INFO,2510
Y_RECEIVE_BACKSUB_INFO,2510
ALLOC_SPACE,1
X_RECEIVE_BACKSUB_INFO,2510
MPI_Comm_dup(),2
MPI_Bcast(),6
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SETUP_BTIO,1
SET_CLASS,0.00826446
