Name,#Call
.TAU_application,1
MPBT,1
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
ADI,61
Y_SOLVE,61
Z_SOLVE,61
MPI_Wait(),732
X_SOLVE,61
Z_SOLVE_CELL,122
Y_SOLVE_CELL,122
X_SOLVE_CELL,122
COPY_FACES,62
COMPUTE_RHS,62
INITIALIZE,2
EXACT_SOLUTION,7248
MPI_Waitall(),62
MPI_Isend(),738
MPI_Bcast(),6
MPI_Barrier(),2
EXACT_RHS,1
MPI_Irecv(),738
Y_BACKSUBSTITUTE,122
X_BACKSUBSTITUTE,122
Z_BACKSUBSTITUTE,122
VERIFY,1
MPI_Comm_dup(),2
X_SEND_SOLVE_INFO,61
ERROR_NORM,1
Z_SEND_SOLVE_INFO,61
Y_SEND_SOLVE_INFO,61
X_UNPACK_SOLVE_INFO,61
Y_UNPACK_SOLVE_INFO,61
Z_UNPACK_SOLVE_INFO,61
LHSABINIT,366
ADD,61
X_SEND_BACKSUB_INFO,61
Z_SEND_BACKSUB_INFO,61
Y_SEND_BACKSUB_INFO,61
LHSINIT,1
MPI_Allreduce(),2
Y_RECEIVE_SOLVE_INFO,61
X_RECEIVE_SOLVE_INFO,61
Z_RECEIVE_SOLVE_INFO,61
X_RECEIVE_BACKSUB_INFO,61
Y_RECEIVE_BACKSUB_INFO,61
Z_RECEIVE_BACKSUB_INFO,61
ALLOC_SPACE,1
RHS_NORM,1
Z_UNPACK_BACKSUB_INFO,61
Y_UNPACK_BACKSUB_INFO,61
X_UNPACK_BACKSUB_INFO,61
MPI_Reduce(),1
SET_CONSTANTS,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
SETUP_BTIO,1
BTIO_CLEANUP,1
MAKE_SET,1
MPI_Comm_size(),1
SET_CLASS,0.25
