Name,#Call
.TAU_application,1
APPLU,1
MPI_Finalize(),1
SSOR,2
RHS,253
JACLD,482422
JACU,482422
BLTS,482422
BUTS,482422
INIT_COMM,1
MPI_Init(),1
EXCHANGE_1,62248
MPI_Recv(),31124
EXCHANGE_3,508
SETIV,2
MPI_Wait(),510
EXACT,786854
MPI_Send(),31634
ERHS,1
ERROR,1
MPI_Allreduce(),10
SETBV,2
L2NORM,4
ALLOC_SPACE,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
MPI_Irecv(),510
PINTGR,1
VERIFY,0.25
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,1
EXCHANGE_6,1
PROC_GRID,1
SETCOEFF,1
MPI_Comm_size(),1
ISQRT2,1
MPI_Comm_rank(),1
NEIGHBORS,1
SET_CLASS,0.25
SUBDOMAIN,1
