Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,253
JACLD,627500
JACU,627500
BLTS,627500
BUTS,627500
EXCHANGE_1,100400
MPI_Recv(),75300
MPI_Finalize(),1
EXCHANGE_3,508
INIT_COMM,1
MPI_Init(),1
MPI_Wait(),764.25
MPI_Send(),76064.2
SETIV,2
EXACT,820303
ERHS,1
ERROR,1
MPI_Allreduce(),10
L2NORM,4
MPI_Irecv(),764.25
SETBV,2
ALLOC_SPACE,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
PINTGR,1
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_6,0.5
VERIFY,0.0625
PROC_GRID,1
EXCHANGE_5,0.5
SETCOEFF,1
NEIGHBORS,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
ISQRT2,1
SET_CLASS,0.0625
SUBDOMAIN,1
