Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,253
BLTS,6.4256E+06
JACLD,6.4256E+06
BUTS,6.4256E+06
JACU,6.4256E+06
SETIV,2
EXACT,5.35629E+07
MPI_Finalize(),1
ERROR,1
ERHS,1
INIT_COMM,1
MPI_Init(),1
SETBV,2
L2NORM,4
EXCHANGE_1,160640
ALLOC_SPACE,1
PINTGR,1
READ_INPUT,1
EXCHANGE_3,508
VERIFY,1
MPI_Allreduce(),10
BCAST_INPUTS,1
MPI_Bcast(),10
MPI_Barrier(),2
PROC_GRID,1
MPI_Comm_rank(),1
NEIGHBORS,1
SET_CLASS,1
EXCHANGE_4,1
EXCHANGE_5,2
EXCHANGE_6,2
ISQRT2,1
MPI_Comm_size(),1
SETCOEFF,1
SUBDOMAIN,1
