Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,303
JACLD,4.96156E+07
BLTS,4.96156E+07
BUTS,4.96156E+07
JACU,4.96156E+07
SETIV,2
EXACT,4.36001E+08
EXCHANGE_1,488824
MPI_Recv(),122206
EXCHANGE_3,608
ERROR,1
MPI_Wait(),305.5
ERHS,1
MPI_Send(),122512
MPI_Finalize(),1
L2NORM,4
SETBV,2
INIT_COMM,1
MPI_Init(),1
MPI_Allreduce(),10
PINTGR,1
ALLOC_SPACE,1
READ_INPUT,1
MPI_Irecv(),305.5
BCAST_INPUTS,1
MPI_Bcast(),10
VERIFY,0.5
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,2
PROC_GRID,1
MPI_Comm_size(),1
EXCHANGE_6,1
SETCOEFF,1
SUBDOMAIN,1
ISQRT2,1
MPI_Comm_rank(),1
NEIGHBORS,1
SET_CLASS,0.5
