Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,303
JACLD,7.79834E+07
BLTS,7.79834E+07
BUTS,7.79834E+07
JACU,7.79834E+07
EXCHANGE_1,1.22567E+06
MPI_Recv(),995858
SETIV,2
EXCHANGE_3,608
EXACT,4.28975E+08
MPI_Send(),996849
MPI_Wait(),990.25
ERROR,1
ERHS,1
L2NORM,4
MPI_Allreduce(),10
MPI_Finalize(),1
INIT_COMM,1
MPI_Init(),1
MPI_Irecv(),990.25
SETBV,2
PINTGR,1
ALLOC_SPACE,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
EXCHANGE_4,1
EXCHANGE_5,0.5
MPI_Barrier(),2
EXCHANGE_6,0.25
VERIFY,0.03125
PROC_GRID,1
SETCOEFF,1
MPI_Comm_rank(),1
NEIGHBORS,1
ISQRT2,1
SUBDOMAIN,1
MPI_Comm_size(),1
SET_CLASS,0.03125
