Name,#Call
.TAU_application,1
APPLU,1
MPI_Finalize(),1
INIT_COMM,1
MPI_Init(),1
SSOR,2
RHS,53
JACLD,5100
JACU,5100
BLTS,5100
BUTS,5100
EXCHANGE_1,2040
MPI_Recv(),510
EXCHANGE_3,108
SETIV,2
EXACT,7364
MPI_Wait(),55.5
READ_INPUT,1
MPI_Send(),565.5
BCAST_INPUTS,1
MPI_Bcast(),10
ERHS,1
SETBV,2
ERROR,1
VERIFY,0.5
MPI_Allreduce(),10
L2NORM,4
ALLOC_SPACE,1
MPI_Irecv(),55.5
PINTGR,1
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,2
PROC_GRID,1
NEIGHBORS,1
SETCOEFF,1
SET_CLASS,0.5
SUBDOMAIN,1
EXCHANGE_6,1
ISQRT2,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
