Name,#Call
.TAU_application,1
APPLU,1
MPI_Finalize(),1
SSOR,2
RHS,303
INIT_COMM,1
MPI_Init(),1
JACLD,289261
JACU,289261
BLTS,289261
BUTS,289261
EXCHANGE_1,37324
MPI_Recv(),9331
EXCHANGE_3,608
MPI_Wait(),305.5
SETIV,2
EXACT,200176
MPI_Send(),9636.5
ERHS,1
ERROR,1
SETBV,2
READ_INPUT,1
MPI_Allreduce(),10
BCAST_INPUTS,1
L2NORM,4
MPI_Bcast(),10
MPI_Irecv(),305.5
VERIFY,0.5
PINTGR,1
ALLOC_SPACE,1
MPI_Barrier(),2
EXCHANGE_5,2
EXCHANGE_4,1
PROC_GRID,1
ISQRT2,1
MPI_Comm_size(),1
NEIGHBORS,1
SETCOEFF,1
SET_CLASS,0.5
EXCHANGE_6,1
MPI_Comm_rank(),1
SUBDOMAIN,1
