Name,#Call
.TAU_application,1
int_main(int_char_**),1
void_CalcKinematicsForElems(Domain,16
MPI_Finalize(),1
Real_t_CalcElemVolume(const,3.56516E+07
MPI_Allreduce(),15
void_CommSend(Domain,49
MPI_Waitall(),49
void_Domain::Domain(Int_t_Index_t_Index_t_Index_t_Index_t_Int_t_Int_t_Int_t_Int_t),1
MPI_Init(),1
MPI_Wait(),356.593
void_CommSBN(Domain,17
void_CommSyncPosVel(Domain,16
MPI_Reduce(),1
void_Domain::BuildMesh(Int_t_Int_t_Int_t),1
void_Domain::CreateRegionIndexSets(Int_t_Int_t),1
void_Domain::SetupElementConnectivities(Int_t),1
void_CommMonoQ(Domain,16
void_Domain::SetupBoundaryConditions(Int_t),1
MPI_Barrier(),1
void_Domain::SetupCommBuffers(Int_t),1
MPI_Isend(),356.593
void_Domain::~Domain(),1
void_CommRecv(Domain,49
MPI_Irecv(),356.593
MPI_Comm_rank(),149
void_Domain::SetupSymmetryPlanes(Int_t),1
void_InitMeshDecomp(Int_t_Int_t_Int_t,1
void_VerifyAndWriteFinalOutput(Real_t_Domain,0.037037
void_ParseCommandLineOptions(int_char_**_Int_t_cmdLineOpts,1
StrToInt,2
MPI_Comm_size(),1
