Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,303
EXCHANGE_1,488824
MPI_Recv(),442997
JACU,6.20195E+06
JACLD,6.20195E+06
BLTS,6.20195E+06
BUTS,6.20195E+06
EXCHANGE_3,608
MPI_Send(),444101
SETIV,2
MPI_Wait(),1104.16
EXACT,6.81252E+06
INIT_COMM,1
MPI_Init(),1
MPI_Finalize(),1
ERHS,1
MPI_Allreduce(),10
ERROR,1
L2NORM,4
MPI_Irecv(),1104.16
SETBV,2
ALLOC_SPACE,1
PINTGR,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,0.25
EXCHANGE_6,0.125
PROC_GRID,1
VERIFY,0.0078125
SETCOEFF,1
MPI_Comm_size(),1
NEIGHBORS,1
MPI_Comm_rank(),1
SUBDOMAIN,1
ISQRT2,1
SET_CLASS,0.0078125
