Name,#Call
.TAU_application,1
MPSP,1
ADI,401
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
COPY_FACES,402
MPI_Waitall(),22056
X_SOLVE,401
Y_SOLVE,401
Z_SOLVE,401
COMPUTE_RHS,402
LHSX,4010
MPI_Isend(),24066
LHSZ,4010
LHSY,4010
INITIALIZE,2
MPI_Irecv(),24066
TZETAR,4010
TXINVR,401
EXACT_SOLUTION,46102.2
ADD,401
PINVR,4010
EXACT_RHS,1
NINVR,4010
VERIFY,1
MPI_Barrier(),2
MPI_Allreduce(),2
MPI_Comm_dup(),2
RHS_NORM,1
ERROR_NORM,1
MPI_Bcast(),4
LHSINIT,1
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
SET_CLASS,0.01
