Name,#Call
.TAU_application,1
MPSP,1
ADI,401
Z_SOLVE,401
COPY_FACES,402
Y_SOLVE,401
X_SOLVE,401
MPI_Waitall(),12432
COMPUTE_RHS,402
LHSZ,2406
LHSY,2406
LHSX,2406
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
TXINVR,401
ADD,401
TZETAR,2406
INITIALIZE,2
MPI_Isend(),14442
EXACT_SOLUTION,488349
EXACT_RHS,1
PINVR,2406
NINVR,2406
MPI_Barrier(),2
MPI_Irecv(),14442
VERIFY,1
ERROR_NORM,1
ALLOC_SPACE,1
LHSINIT,1
MPI_Allreduce(),2
RHS_NORM,1
MPI_Bcast(),4
MPI_Comm_dup(),2
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
SET_CLASS,0.0277778
