Name,#Call
.TAU_application,1
MPSP,1
ADI,501
COPY_FACES,502
COMPUTE_RHS,502
Z_SOLVE,501
Y_SOLVE,501
X_SOLVE,501
LHSZ,501
LHSY,501
LHSX,501
TXINVR,501
TZETAR,501
ADD,501
INITIALIZE,2
NINVR,501
PINVR,501
EXACT_SOLUTION,1.08668E+09
EXACT_RHS,1
VERIFY,1
ERROR_NORM,1
MPI_Finalize(),1
LHSINIT,1
SETUP_MPI,1
MPI_Init(),1
RHS_NORM,1
ALLOC_SPACE,1
MPI_Comm_dup(),2
MPI_Allreduce(),2
MPI_Reduce(),1
MPI_Bcast(),4
MPI_Barrier(),2
COMPUTE_BUFFER_SIZE,1
MAKE_SET,1
SET_CLASS,1
SET_CONSTANTS,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
