Name,#Call
.TAU_application,1
MPSP,1
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
ADI,101
COPY_FACES,102
MPI_Waitall(),708
X_SOLVE,101
COMPUTE_RHS,102
Y_SOLVE,101
Z_SOLVE,101
INITIALIZE,2
MPI_Isend(),1218
LHSX,202
EXACT_SOLUTION,7248
LHSZ,202
LHSY,202
MPI_Irecv(),1218
MPI_Bcast(),4
MPI_Barrier(),2
EXACT_RHS,1
TZETAR,202
TXINVR,101
VERIFY,1
MPI_Comm_dup(),2
ADD,101
ERROR_NORM,1
PINVR,202
NINVR,202
MPI_Allreduce(),2
ALLOC_SPACE,1
LHSINIT,1
RHS_NORM,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
SET_CLASS,0.25
