Name,#Call
.TAU,1
MPBT,1
ADI,201
MPI_Finalize(),1
Y_SOLVE,201
Z_SOLVE,201
Y_SOLVE_CELL,402
Z_SOLVE_CELL,402
X_SOLVE,201
X_SOLVE_CELL,402
COPY_FACES,202
COMPUTE_RHS,202
X_BACKSUBSTITUTE,402
Y_BACKSUBSTITUTE,402
SETUP_MPI,1
MPI_Init(),1
Z_BACKSUBSTITUTE,402
MPI_Wait(),2412
ADD,201
MPI_Waitall(),202
INITIALIZE,2
X_UNPACK_SOLVE_INFO,201
X_SEND_SOLVE_INFO,201
EXACT_SOLUTION,100001
Y_UNPACK_SOLVE_INFO,201
Y_SEND_SOLVE_INFO,201
EXACT_RHS,1
Z_SEND_SOLVE_INFO,201
Z_UNPACK_SOLVE_INFO,201
VERIFY,1
MPI_Isend(),2418
LHSINIT,1
X_SEND_BACKSUB_INFO,201
Y_SEND_BACKSUB_INFO,201
ERROR_NORM,1
Z_SEND_BACKSUB_INFO,201
MPI_Irecv(),2418
LHSABINIT,1206
ALLOC_SPACE,1
Z_UNPACK_BACKSUB_INFO,201
Y_UNPACK_BACKSUB_INFO,201
X_UNPACK_BACKSUB_INFO,201
MPI_Bcast(),6
Z_RECEIVE_BACKSUB_INFO,201
Y_RECEIVE_BACKSUB_INFO,201
X_RECEIVE_SOLVE_INFO,201
X_RECEIVE_BACKSUB_INFO,201
Y_RECEIVE_SOLVE_INFO,201
RHS_NORM,1
Z_RECEIVE_SOLVE_INFO,201
MPI_Comm_dup(),2
MPI_Allreduce(),2
MPI_Barrier(),2
MPI_Reduce(),1
SET_CONSTANTS,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MAKE_SET,1
MPI_Comm_rank(),1
BTIO_CLEANUP,1
SETUP_BTIO,1
SET_CLASS,0.25
