Name,#Call
.TAU,1
APPLU,1
MPI_Finalize(),1
INIT_COMM,1
MPI_Init(),1
SSOR,2
EXCHANGE_1,62248
MPI_Recv(),58357.5
RHS,253
EXCHANGE_3,508
JACLD,60302.8
JACU,60302.8
MPI_Send(),59312.1
BLTS,60302.8
BUTS,60302.8
MPI_Wait(),954.609
SETIV,2
MPI_Barrier(),2
EXACT,12294.6
MPI_Allreduce(),10
ERHS,1
L2NORM,4
MPI_Irecv(),954.609
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
ERROR,1
PINTGR,1
SETBV,2
EXCHANGE_4,1
ALLOC_SPACE,1
PROC_GRID,1
EXCHANGE_6,0.125
EXCHANGE_5,0.125
SETCOEFF,1
VERIFY,0.00390625
MPI_Comm_size(),1
MPI_Comm_rank(),1
NEIGHBORS,1
SUBDOMAIN,1
ISQRT2,1
SET_CLASS,0.00390625
